PDB_ID	RAW_JSON	TASK_NAME	SPLIT	JSON_RNA_CHAIN_COUNT	MANIFEST_RNA_CHAIN_COUNT	MAX_CHAIN_LENGTH	SEQUENCE_MULTISET_MATCH	HAS_NON_ACGU	HAS_OVERLENGTH_CHAIN	STATUS	ISSUE_CODES
1BGZ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1bgz.json	1BGZ	train	1	1	23	True	False	False	PASS	
1BJ2	/storage9920/home/tinghao.xia/Json_data/Simple_json/1bj2.json	1BJ2	train	2	2	21	True	False	False	PASS	
1BN0	/storage9920/home/tinghao.xia/Json_data/Simple_json/1bn0.json	1BN0	train	1	1	20	True	False	False	PASS	
1BVJ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1bvj.json	1BVJ	train	1	1	23	True	False	False	PASS	
1BYJ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1byj.json	1BYJ	train	1	1	27	True	False	False	PASS	
1BZ2	/storage9920/home/tinghao.xia/Json_data/Simple_json/1bz2.json	1BZ2	train	1	1	17	True	False	False	PASS	
1BZ3	/storage9920/home/tinghao.xia/Json_data/Simple_json/1bz3.json	1BZ3	train	1	1	17	True	False	False	PASS	
1BZT	/storage9920/home/tinghao.xia/Json_data/Simple_json/1bzt.json	1BZT	train	1	1	17	True	False	False	PASS	
1BZU	/storage9920/home/tinghao.xia/Json_data/Simple_json/1bzu.json	1BZU	train	1	1	17	True	False	False	PASS	
1C0O	/storage9920/home/tinghao.xia/Json_data/Simple_json/1c0o.json	1C0O	train	1	1	14	True	False	False	PASS	
1C2W	/storage9920/home/tinghao.xia/Json_data/Simple_json/1c2w.json	1C2W	train	1	1	2904	True	False	True	FAIL	OVER_MAX_LENGTH
1C2X	/storage9920/home/tinghao.xia/Json_data/Simple_json/1c2x.json	1C2X	train	1	1	120	True	False	False	PASS	
1C4L	/storage9920/home/tinghao.xia/Json_data/Simple_json/1c4l.json	1C4L	train	2	2	9	True	False	False	PASS	
1CQ5	/storage9920/home/tinghao.xia/Json_data/Simple_json/1cq5.json	1CQ5	train	1	1	43	True	False	False	PASS	
1CQL	/storage9920/home/tinghao.xia/Json_data/Simple_json/1cql.json	1CQL	train	1	1	43	True	False	False	PASS	
1CSL	/storage9920/home/tinghao.xia/Json_data/Simple_json/1csl.json	1CSL	train	2	2	15	True	False	False	PASS	
1D0T	/storage9920/home/tinghao.xia/Json_data/Simple_json/1d0t.json	1D0T	train	1	1	21	True	False	False	PASS	
1D0U	/storage9920/home/tinghao.xia/Json_data/Simple_json/1d0u.json	1D0U	train	1	1	21	True	False	False	PASS	
1D4R	/storage9920/home/tinghao.xia/Json_data/Simple_json/1d4r.json	1D4R	train	3	3	29	True	False	False	PASS	
1DDY	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ddy.json	1DDY	train	4	4	35	True	False	False	PASS	
1DQF	/storage9920/home/tinghao.xia/Json_data/Simple_json/1dqf.json	1DQF	train	2	2	10	True	False	False	PASS	
1DQH	/storage9920/home/tinghao.xia/Json_data/Simple_json/1dqh.json	1DQH	train	2	2	10	True	False	False	PASS	
1DUH	/storage9920/home/tinghao.xia/Json_data/Simple_json/1duh.json	1DUH	train	1	1	45	True	False	False	PASS	
1DUQ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1duq.json	1DUQ	train	8	8	14	True	False	False	PASS	
1E4P	/storage9920/home/tinghao.xia/Json_data/Simple_json/1e4p.json	1E4P	train	1	1	24	True	False	False	PASS	
1E95	/storage9920/home/tinghao.xia/Json_data/Simple_json/1e95.json	1E95	train	1	1	36	True	False	False	PASS	
1EBQ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ebq.json	1EBQ	train	1	1	29	True	False	False	PASS	
1EBR	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ebr.json	1EBR	train	1	1	30	True	False	False	PASS	
1EBS	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ebs.json	1EBS	train	1	1	29	True	False	False	PASS	
1EHT	/storage9920/home/tinghao.xia/Json_data/Simple_json/1eht.json	1EHT	train	1	1	33	True	False	False	PASS	
1EHZ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ehz.json	1EHZ	train	1	1	76	True	False	False	PASS	
1EI2	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ei2.json	1EI2	train	1	1	25	True	False	False	PASS	
1EKA	/storage9920/home/tinghao.xia/Json_data/Simple_json/1eka.json	1EKA	train	2	2	8	True	False	False	PASS	
1EKD	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ekd.json	1EKD	train	2	2	8	True	False	False	PASS	
1ELH	/storage9920/home/tinghao.xia/Json_data/Simple_json/1elh.json	1ELH	train	2	2	13	True	False	False	PASS	
1ESH	/storage9920/home/tinghao.xia/Json_data/Simple_json/1esh.json	1ESH	train	1	1	13	True	False	False	PASS	
1ESY	/storage9920/home/tinghao.xia/Json_data/Simple_json/1esy.json	1ESY	train	1	1	19	True	False	False	PASS	
1ET4	/storage9920/home/tinghao.xia/Json_data/Simple_json/1et4.json	1ET4	train	5	5	35	True	False	False	PASS	
1EVV	/storage9920/home/tinghao.xia/Json_data/Simple_json/1evv.json	1EVV	train	1	1	76	True	False	False	PASS	
1F1T	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f1t.json	1F1T	train	1	1	38	True	False	False	PASS	
1F27	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f27.json	1F27	train	2	2	19	True	False	False	PASS	
1F5G	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f5g.json	1F5G	train	2	2	10	True	False	False	PASS	
1F5H	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f5h.json	1F5H	train	2	2	10	True	False	False	PASS	
1F5U	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f5u.json	1F5U	train	2	2	18	True	False	False	PASS	
1F6X	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f6x.json	1F6X	train	1	1	27	True	False	False	PASS	
1F6Z	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f6z.json	1F6Z	train	1	1	27	True	False	False	PASS	
1F78	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f78.json	1F78	train	1	1	27	True	False	False	PASS	
1F79	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f79.json	1F79	train	1	1	27	True	False	False	PASS	
1F7F	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f7f.json	1F7F	train	1	1	27	True	False	False	PASS	
1F7G	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f7g.json	1F7G	train	1	1	27	True	False	False	PASS	
1F7H	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f7h.json	1F7H	train	1	1	27	True	False	False	PASS	
1F7I	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f7i.json	1F7I	train	1	1	27	True	False	False	PASS	
1F84	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f84.json	1F84	train	1	1	29	True	False	False	PASS	
1F85	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f85.json	1F85	train	1	1	14	True	False	False	PASS	
1F9L	/storage9920/home/tinghao.xia/Json_data/Simple_json/1f9l.json	1F9L	train	1	1	22	True	False	False	PASS	
1FCW	/storage9920/home/tinghao.xia/Json_data/Simple_json/1fcw.json	1FCW	train	5	5	76	True	False	False	PASS	
1FEQ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1feq.json	1FEQ	train	1	1	17	True	False	False	PASS	
1FG0	/storage9920/home/tinghao.xia/Json_data/Simple_json/1fg0.json	1FG0	train	2	2	602	True	False	False	PASS	
1FHK	/storage9920/home/tinghao.xia/Json_data/Simple_json/1fhk.json	1FHK	train	1	1	14	True	False	False	PASS	
1FIR	/storage9920/home/tinghao.xia/Json_data/Simple_json/1fir.json	1FIR	train	1	1	76	True	False	False	PASS	
1FL8	/storage9920/home/tinghao.xia/Json_data/Simple_json/1fl8.json	1FL8	train	1	1	17	True	False	False	PASS	
1FMN	/storage9920/home/tinghao.xia/Json_data/Simple_json/1fmn.json	1FMN	train	1	1	35	True	False	False	PASS	
1FOQ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1foq.json	1FOQ	train	5	5	120	True	False	False	PASS	
1FQZ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1fqz.json	1FQZ	train	1	1	27	True	False	False	PASS	
1FUF	/storage9920/home/tinghao.xia/Json_data/Simple_json/1fuf.json	1FUF	train	2	2	14	True	False	False	PASS	
1FYO	/storage9920/home/tinghao.xia/Json_data/Simple_json/1fyo.json	1FYO	train	1	1	27	True	False	False	PASS	
1FYP	/storage9920/home/tinghao.xia/Json_data/Simple_json/1fyp.json	1FYP	train	1	1	27	True	False	False	PASS	
1G2J	/storage9920/home/tinghao.xia/Json_data/Simple_json/1g2j.json	1G2J	train	1	1	8	True	True	False	FAIL	NON_ACGU_SEQUENCE
1G3A	/storage9920/home/tinghao.xia/Json_data/Simple_json/1g3a.json	1G3A	train	2	2	6	True	False	False	PASS	
1GID	/storage9920/home/tinghao.xia/Json_data/Simple_json/1gid.json	1GID	train	2	2	158	True	False	False	PASS	
1GRZ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1grz.json	1GRZ	train	2	2	247	True	False	False	PASS	
1GUC	/storage9920/home/tinghao.xia/Json_data/Simple_json/1guc.json	1GUC	train	2	2	8	True	False	False	PASS	
1H0Q	/storage9920/home/tinghao.xia/Json_data/Simple_json/1h0q.json	1H0Q	train	2	2	9	True	True	False	FAIL	NON_ACGU_SEQUENCE
1H1K	/storage9920/home/tinghao.xia/Json_data/Simple_json/1h1k.json	1H1K	train	6	6	412	True	False	False	PASS	
1HLX	/storage9920/home/tinghao.xia/Json_data/Simple_json/1hlx.json	1HLX	train	1	1	20	True	False	False	PASS	
1HR2	/storage9920/home/tinghao.xia/Json_data/Simple_json/1hr2.json	1HR2	train	2	2	158	True	False	False	PASS	
1HS1	/storage9920/home/tinghao.xia/Json_data/Simple_json/1hs1.json	1HS1	train	1	1	13	True	False	False	PASS	
1HS2	/storage9920/home/tinghao.xia/Json_data/Simple_json/1hs2.json	1HS2	train	1	1	13	True	False	False	PASS	
1HS3	/storage9920/home/tinghao.xia/Json_data/Simple_json/1hs3.json	1HS3	train	1	1	13	True	False	False	PASS	
1HS4	/storage9920/home/tinghao.xia/Json_data/Simple_json/1hs4.json	1HS4	train	1	1	13	True	False	False	PASS	
1HS8	/storage9920/home/tinghao.xia/Json_data/Simple_json/1hs8.json	1HS8	train	1	1	13	True	False	False	PASS	
1HWQ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1hwq.json	1HWQ	train	1	1	30	True	False	False	PASS	
1I3X	/storage9920/home/tinghao.xia/Json_data/Simple_json/1i3x.json	1I3X	train	1	1	19	True	False	False	PASS	
1I3Y	/storage9920/home/tinghao.xia/Json_data/Simple_json/1i3y.json	1I3Y	train	1	1	19	True	False	False	PASS	
1I46	/storage9920/home/tinghao.xia/Json_data/Simple_json/1i46.json	1I46	train	1	1	13	True	False	False	PASS	
1I4B	/storage9920/home/tinghao.xia/Json_data/Simple_json/1i4b.json	1I4B	train	1	1	13	True	False	False	PASS	
1I4C	/storage9920/home/tinghao.xia/Json_data/Simple_json/1i4c.json	1I4C	train	1	1	13	True	False	False	PASS	
1I7J	/storage9920/home/tinghao.xia/Json_data/Simple_json/1i7j.json	1I7J	train	2	2	6	True	False	False	PASS	
1I9K	/storage9920/home/tinghao.xia/Json_data/Simple_json/1i9k.json	1I9K	train	4	4	6	True	False	False	PASS	
1I9V	/storage9920/home/tinghao.xia/Json_data/Simple_json/1i9v.json	1I9V	train	1	1	76	True	False	False	PASS	
1I9X	/storage9920/home/tinghao.xia/Json_data/Simple_json/1i9x.json	1I9X	train	2	2	13	True	False	False	PASS	
1IDV	/storage9920/home/tinghao.xia/Json_data/Simple_json/1idv.json	1IDV	train	1	1	10	True	False	False	PASS	
1IE1	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ie1.json	1IE1	train	1	1	22	True	False	False	PASS	
1IE2	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ie2.json	1IE2	train	1	1	22	True	False	False	PASS	
1IK1	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ik1.json	1IK1	train	1	1	14	True	False	False	PASS	
1IK5	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ik5.json	1IK5	train	2	2	14	True	False	False	PASS	
1IKD	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ikd.json	1IKD	train	1	1	22	True	False	False	PASS	
1J4Y	/storage9920/home/tinghao.xia/Json_data/Simple_json/1j4y.json	1J4Y	train	1	1	17	True	False	False	PASS	
1J6S	/storage9920/home/tinghao.xia/Json_data/Simple_json/1j6s.json	1J6S	train	4	4	6	True	False	False	PASS	
1J7T	/storage9920/home/tinghao.xia/Json_data/Simple_json/1j7t.json	1J7T	train	2	2	22	True	False	False	PASS	
1J8G	/storage9920/home/tinghao.xia/Json_data/Simple_json/1j8g.json	1J8G	train	4	4	6	True	False	False	PASS	
1J9H	/storage9920/home/tinghao.xia/Json_data/Simple_json/1j9h.json	1J9H	train	4	4	9	True	False	False	PASS	
1JO7	/storage9920/home/tinghao.xia/Json_data/Simple_json/1jo7.json	1JO7	train	1	1	31	True	False	False	PASS	
1JOX	/storage9920/home/tinghao.xia/Json_data/Simple_json/1jox.json	1JOX	train	1	1	21	True	False	False	PASS	
1JP0	/storage9920/home/tinghao.xia/Json_data/Simple_json/1jp0.json	1JP0	train	1	1	21	True	False	False	PASS	
1JTJ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1jtj.json	1JTJ	train	1	1	23	True	False	False	PASS	
1JTW	/storage9920/home/tinghao.xia/Json_data/Simple_json/1jtw.json	1JTW	train	1	1	16	True	False	False	PASS	
1JU1	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ju1.json	1JU1	train	2	2	23	True	False	False	PASS	
1JU7	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ju7.json	1JU7	train	1	1	28	True	False	False	PASS	
1JUR	/storage9920/home/tinghao.xia/Json_data/Simple_json/1jur.json	1JUR	train	1	1	22	True	False	False	PASS	
1JWC	/storage9920/home/tinghao.xia/Json_data/Simple_json/1jwc.json	1JWC	train	1	1	28	True	False	False	PASS	
1JZC	/storage9920/home/tinghao.xia/Json_data/Simple_json/1jzc.json	1JZC	train	1	1	13	True	False	False	PASS	
1JZV	/storage9920/home/tinghao.xia/Json_data/Simple_json/1jzv.json	1JZV	train	4	4	9	True	False	False	PASS	
1K2G	/storage9920/home/tinghao.xia/Json_data/Simple_json/1k2g.json	1K2G	train	1	1	22	True	False	False	PASS	
1K4A	/storage9920/home/tinghao.xia/Json_data/Simple_json/1k4a.json	1K4A	train	1	1	14	True	False	False	PASS	
1K4B	/storage9920/home/tinghao.xia/Json_data/Simple_json/1k4b.json	1K4B	train	1	1	14	True	False	False	PASS	
1K5I	/storage9920/home/tinghao.xia/Json_data/Simple_json/1k5i.json	1K5I	train	1	1	23	True	False	False	PASS	
1K6G	/storage9920/home/tinghao.xia/Json_data/Simple_json/1k6g.json	1K6G	train	1	1	22	True	False	False	PASS	
1K6H	/storage9920/home/tinghao.xia/Json_data/Simple_json/1k6h.json	1K6H	train	1	1	22	True	False	False	PASS	
1K8S	/storage9920/home/tinghao.xia/Json_data/Simple_json/1k8s.json	1K8S	train	2	2	13	True	False	False	PASS	
1K9W	/storage9920/home/tinghao.xia/Json_data/Simple_json/1k9w.json	1K9W	train	4	4	23	True	False	False	PASS	
1KAJ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kaj.json	1KAJ	train	1	1	32	True	False	False	PASS	
1KD3	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kd3.json	1KD3	train	2	2	11	True	False	False	PASS	
1KD4	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kd4.json	1KD4	train	2	2	11	True	False	False	PASS	
1KD5	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kd5.json	1KD5	train	2	2	11	True	False	False	PASS	
1KFO	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kfo.json	1KFO	train	1	1	19	True	False	False	PASS	
1KH6	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kh6.json	1KH6	train	1	1	53	True	False	False	PASS	
1KIS	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kis.json	1KIS	train	2	2	16	True	False	False	PASS	
1KKA	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kka.json	1KKA	train	1	1	17	True	False	False	PASS	
1KKS	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kks.json	1KKS	train	1	1	24	True	False	False	PASS	
1KOC	/storage9920/home/tinghao.xia/Json_data/Simple_json/1koc.json	1KOC	train	2	2	14	True	False	False	PASS	
1KOD	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kod.json	1KOD	train	2	2	14	True	False	False	PASS	
1KOS	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kos.json	1KOS	train	1	1	17	True	False	False	PASS	
1KP7	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kp7.json	1KP7	train	1	1	30	True	False	False	PASS	
1KPD	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kpd.json	1KPD	train	1	1	32	True	False	False	PASS	
1KPY	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kpy.json	1KPY	train	1	1	33	True	False	False	PASS	
1KPZ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kpz.json	1KPZ	train	1	1	33	True	False	False	PASS	
1KXK	/storage9920/home/tinghao.xia/Json_data/Simple_json/1kxk.json	1KXK	train	1	1	70	True	False	False	PASS	
1L1W	/storage9920/home/tinghao.xia/Json_data/Simple_json/1l1w.json	1L1W	train	1	1	29	True	False	False	PASS	
1L2X	/storage9920/home/tinghao.xia/Json_data/Simple_json/1l2x.json	1L2X	train	1	1	28	True	False	False	PASS	
1L3D	/storage9920/home/tinghao.xia/Json_data/Simple_json/1l3d.json	1L3D	train	1	1	28	True	False	False	PASS	
1L3Z	/storage9920/home/tinghao.xia/Json_data/Simple_json/1l3z.json	1L3Z	train	2	2	7	True	False	False	PASS	
1L8V	/storage9920/home/tinghao.xia/Json_data/Simple_json/1l8v.json	1L8V	train	2	2	157	True	False	False	PASS	
1LC4	/storage9920/home/tinghao.xia/Json_data/Simple_json/1lc4.json	1LC4	train	2	2	23	True	False	False	PASS	
1LC6	/storage9920/home/tinghao.xia/Json_data/Simple_json/1lc6.json	1LC6	train	1	1	24	True	False	False	PASS	
1LDZ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1ldz.json	1LDZ	train	1	1	30	True	False	False	PASS	
1LMV	/storage9920/home/tinghao.xia/Json_data/Simple_json/1lmv.json	1LMV	train	2	2	10	True	False	False	PASS	
1LNT	/storage9920/home/tinghao.xia/Json_data/Simple_json/1lnt.json	1LNT	train	2	2	12	True	False	False	PASS	
1LPW	/storage9920/home/tinghao.xia/Json_data/Simple_json/1lpw.json	1LPW	train	2	2	10	True	False	False	PASS	
1LU3	/storage9920/home/tinghao.xia/Json_data/Simple_json/1lu3.json	1LU3	train	1	1	17	True	False	False	PASS	
1LUU	/storage9920/home/tinghao.xia/Json_data/Simple_json/1luu.json	1LUU	train	1	1	17	True	False	False	PASS	
1LUX	/storage9920/home/tinghao.xia/Json_data/Simple_json/1lux.json	1LUX	train	1	1	17	True	False	False	PASS	
1LVJ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1lvj.json	1LVJ	train	1	1	31	True	False	False	PASS	
1M5L	/storage9920/home/tinghao.xia/Json_data/Simple_json/1m5l.json	1M5L	train	1	1	38	True	False	False	PASS	
1M82	/storage9920/home/tinghao.xia/Json_data/Simple_json/1m82.json	1M82	train	1	1	25	True	False	False	PASS	
1MDG	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mdg.json	1MDG	train	1	1	6	True	False	False	PASS	
1ME1	/storage9920/home/tinghao.xia/Json_data/Simple_json/1me1.json	1ME1	train	1	1	12	True	False	False	PASS	
1MFJ	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mfj.json	1MFJ	train	1	1	20	True	False	False	PASS	
1MFK	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mfk.json	1MFK	train	1	1	23	True	False	False	PASS	
1MFY	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mfy.json	1MFY	train	1	1	31	True	False	False	PASS	
1MHK	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mhk.json	1MHK	train	2	2	14	True	False	False	PASS	
1MIS	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mis.json	1MIS	train	2	2	8	True	False	False	PASS	
1MME	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mme.json	1MME	train	4	4	25	True	False	False	PASS	
1MNX	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mnx.json	1MNX	train	1	1	42	True	False	False	PASS	
1MSY	/storage9920/home/tinghao.xia/Json_data/Simple_json/1msy.json	1MSY	train	1	1	27	True	False	False	PASS	
1MT4	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mt4.json	1MT4	train	1	1	24	True	False	False	PASS	
1MUV	/storage9920/home/tinghao.xia/Json_data/Simple_json/1muv.json	1MUV	train	2	2	9	True	False	False	PASS	
1MV1	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mv1.json	1MV1	train	2	2	9	True	False	False	PASS	
1MV2	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mv2.json	1MV2	train	2	2	9	True	False	False	PASS	
1MV6	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mv6.json	1MV6	train	2	2	9	True	False	False	PASS	
1MWG	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mwg.json	1MWG	train	2	2	8	True	False	False	PASS	
1MWL	/storage9920/home/tinghao.xia/Json_data/Simple_json/1mwl.json	1MWL	train	2	2	22	True	False	False	PASS	
1MY9	/storage9920/home/tinghao.xia/Json_data/Simple_json/1my9.json	1MY9	train	2	2	14	True	False	False	PASS	
1N53	/storage9920/home/tinghao.xia/Json_data/Simple_json/1n53.json	1N53	train	2	2	16	True	False	False	PASS	
1N66	/storage9920/home/tinghao.xia/Json_data/Simple_json/1n66.json	1N66	train	1	1	22	True	False	False	PASS	
1N8X	/storage9920/home/tinghao.xia/Json_data/Simple_json/1n8x.json	1N8X	train	1	1	36	True	False	False	PASS	
1NA2	/storage9920/home/tinghao.xia/Json_data/Simple_json/1na2.json	1NA2	train	1	1	30	True	False	False	PASS	
1NBK	/storage9920/home/tinghao.xia/Json_data/Simple_json/1nbk.json	1NBK	train	1	1	34	True	False	False	PASS	
1NBR	/storage9920/home/tinghao.xia/Json_data/Simple_json/1nbr.json	1NBR	train	1	1	29	True	False	False	PASS	
1NBS	/storage9920/home/tinghao.xia/Json_data/Simple_json/1nbs.json	1NBS	train	2	2	155	True	False	False	PASS	
1NC0	/storage9920/home/tinghao.xia/Json_data/Simple_json/1nc0.json	1NC0	train	1	1	24	True	False	False	PASS	
1NEM	/storage9920/home/tinghao.xia/Json_data/Simple_json/1nem.json	1NEM	train	1	1	23	True	False	False	PASS	
1NJN	/storage9920/home/tinghao.xia/Json_data/Simple_json/1njn.json	1NJN	train	1	1	2880	True	False	True	FAIL	OVER_MAX_LENGTH
1NJO	/storage9920/home/tinghao.xia/Json_data/Simple_json/1njo.json	1NJO	train	2	2	2880	True	False	True	FAIL	OVER_MAX_LENGTH
1NLC	/storage9920/home/tinghao.xia/Json_data/Simple_json/1nlc.json	1NLC	train	2	2	23	True	False	False	PASS	
1NTA	/storage9920/home/tinghao.xia/Json_data/Simple_json/1nta.json	1NTA	train	2	2	22	True	False	False	PASS	
