PDB_ID	RELEASE_DATE	INITIAL_SPLIT	RNA_ENTITY_COUNT	RNA_CHAIN_COUNT	RESOLUTION_ANGSTROM
1XWU	2005-02-15	train	1	1	
1Y0Q	2004-12-21	train	2	2	3.6
1Y26	2004-12-28	train	1	1	2.1
1Y27	2004-12-28	train	1	1	2.4
1Y3O	2005-11-08	train	1	2	2.7
1Y3S	2005-11-08	train	1	2	2.25
1Y6S	2004-12-21	train	1	2	2.8
1Y6T	2004-12-21	train	1	2	2.53
1Y73	2004-12-21	train	1	2	2.9
1Y90	2004-12-21	train	1	2	3.08
1Y95	2004-12-21	train	1	2	2.8
1Y99	2004-12-21	train	1	2	2.2
1YFG	1997-09-03	train	1	1	3.0
1YFV	1997-10-15	train	1	2	
1YG3	2005-12-13	train	1	1	
1YG4	2005-12-13	train	1	1	
1YKQ	2005-02-22	train	2	4	3.5
1YKV	2005-02-22	train	2	4	3.3
1YLG	2005-02-01	train	1	1	
1YLS	2005-02-22	train	2	4	3.0
1YMO	2005-03-15	train	1	1	
1YN1	2006-01-24	train	1	1	
1YN2	2006-01-24	train	1	1	
1YNC	2005-02-08	train	1	1	
1YNE	2005-02-08	train	1	1	
1YNG	2005-02-08	train	1	1	
1YRJ	2005-06-07	train	1	2	2.7
1YSV	2005-07-19	train	1	1	
1YXP	2006-01-31	train	1	2	2.4
1YY0	2005-10-18	train	2	3	2.9
1YZD	2005-10-18	train	1	3	2.18
1Z2J	2005-06-14	train	1	1	
1Z30	2005-04-26	train	1	1	
1Z31	2005-03-22	train	1	1	
1Z43	2005-06-14	train	1	1	2.6
1Z58	2005-06-28	train	1	1	3.8
1Z79	2005-10-18	train	1	3	2.5
1Z7F	2005-10-18	train	1	3	2.0
1ZC5	2005-06-07	train	1	1	
1ZCI	2006-01-31	train	1	4	1.65
1ZEV	2005-10-25	train	1	2	1.58
1ZFT	2006-02-14	train	4	4	2.33
1ZFV	2006-02-14	train	4	4	2.4
1ZFX	2006-02-14	train	4	4	2.38
1ZIF	1997-03-12	train	1	1	
1ZIG	1997-03-12	train	1	1	
1ZIH	1997-03-12	train	1	1	
1ZO3	2005-06-14	train	1	2	13.8
1ZX7	2005-09-20	train	2	8	2.15
1ZZ5	2005-09-20	train	2	4	3.0
205D	1995-09-15	train	1	2	2.64
21CC	2025-12-17	test	1	2	
21ET	2026-07-15	test	1	6	2.8
23JY	2026-05-06	test	1	2	2.8
23JZ	2026-05-06	test	1	1	2.9
23KA	2026-05-06	test	1	3	2.59
255D	1995-02-07	train	1	1	2.0
259D	1996-08-26	train	1	2	1.46
25SJ	2026-04-29	test	1	2	
25SM	2026-04-29	test	1	2	
280D	1996-09-30	train	1	4	2.4
283D	1996-09-30	train	1	1	2.3
28SP	1999-04-12	train	1	1	
28SR	1999-04-20	train	1	1	
299D	1997-01-24	train	2	2	3.0
2A04	2005-09-20	train	2	4	2.95
2A0P	2005-08-16	train	1	2	1.95
2A2E	2005-09-06	train	1	1	3.85
2A43	2005-09-27	train	1	1	1.34
2A64	2005-09-20	train	1	1	3.3
2A9L	1998-06-17	train	1	1	
2ADT	2005-07-26	train	1	2	
2AGN	2006-07-25	train	5	5	15.0
2AHT	2006-10-17	train	1	1	
2AO5	2006-03-28	train	1	4	2.1
2AP0	2006-09-05	train	1	1	
2AP5	2006-09-05	train	1	1	
2AU4	2006-03-28	train	1	1	
2AWE	2006-02-07	train	1	8	2.1
2AWQ	2006-01-17	train	1	1	
2B57	2006-05-23	train	1	1	2.15
2B7G	2006-01-24	train	1	1	
2B8R	2005-10-25	train	1	2	2.6
2B8S	2005-10-25	train	1	2	2.76
2BCY	2006-02-14	train	4	4	2.7
2BCZ	2006-02-14	train	4	4	2.4
2BE0	2005-12-20	train	1	2	2.63
2BEE	2005-12-20	train	1	2	2.54
2BJ2	1999-02-02	train	2	2	
2CD1	2007-05-01	train	1	1	
2CD3	2007-05-01	train	1	1	
2CD5	2007-05-01	train	1	1	
2CD6	2007-05-01	train	1	1	
2CKY	2006-05-08	train	1	2	2.9
2D17	2005-11-01	train	2	2	
2D18	2005-11-01	train	1	2	
2D19	2005-11-01	train	1	2	
2D1A	2005-11-01	train	1	2	
2D1B	2005-11-01	train	1	2	
2D2K	2005-11-01	train	4	4	2.65
2D2L	2005-11-01	train	4	4	2.5
2DD1	2006-06-13	train	2	2	
2DD2	2006-06-13	train	2	2	
2DD3	2006-06-13	train	2	2	
2EES	2007-11-13	train	1	1	1.75
2EET	2007-11-13	train	1	1	1.95
2EEU	2007-11-13	train	1	1	1.95
2EEV	2007-11-13	train	1	1	1.95
2EEW	2007-11-13	train	1	1	2.0
2ES5	2006-01-24	train	1	1	
2ESI	2005-12-20	train	1	2	2.9
2ESJ	2005-12-20	train	1	2	2.1
2ET3	2005-12-13	train	1	2	2.8
2ET4	2005-12-13	train	1	2	2.3
2ET5	2005-12-13	train	1	2	2.1
2ET8	2005-12-13	train	1	2	2.4
2EUY	2006-01-03	train	1	1	
2EVY	2006-08-22	train	1	1	
2F4S	2006-05-02	train	1	2	2.8
2F4T	2006-05-02	train	2	2	3.0
2F4U	2006-05-02	train	1	2	2.6
2F4X	2006-02-28	train	1	2	
2F87	2006-08-08	train	1	1	
2F88	2006-02-28	train	1	1	
2FCX	2006-05-16	train	1	2	2.0
2FCY	2006-05-16	train	1	2	2.2
2FCZ	2006-05-16	train	1	4	2.01
2FD0	2006-05-16	train	1	2	1.8
2FDT	2006-12-05	train	1	1	
2FEY	2006-06-27	train	1	1	
2FGP	2006-02-14	train	4	4	2.4
2FQN	2006-02-14	train	1	2	2.3
2G1G	2006-06-20	train	1	1	
2G1W	2006-04-11	train	1	1	
2G32	2006-05-30	train	2	4	1.3
2G3S	2007-01-16	train	1	10	1.499
2G5K	2006-06-20	train	1	2	2.8
2G91	2007-04-03	train	1	2	1.5
2G92	2006-04-18	train	1	2	1.61
2G9C	2006-11-21	train	1	1	1.58
2GBH	2006-04-11	train	1	1	
2GCS	2006-09-26	train	2	2	2.1
2GCV	2006-09-26	train	2	2	2.1
2GDI	2006-07-04	train	1	2	2.05
2GIO	2006-06-20	train	1	1	
2GIP	2006-06-20	train	1	1	
2GIS	2006-07-04	train	1	1	2.9
2GM0	2006-04-25	train	1	2	
2GPM	2006-06-27	train	2	4	1.4
2GQ4	2006-06-27	train	2	4	1.35
2GQ5	2006-06-27	train	2	4	1.4
2GQ6	2006-06-27	train	2	4	1.3
2GQ7	2006-06-27	train	2	4	1.6
2GRB	2006-11-21	train	1	8	1.4
2GRW	2007-03-06	train	1	1	
2GV3	2006-08-08	train	1	1	
2GV4	2007-03-20	train	1	1	
2GVO	2007-05-08	train	1	1	
2H0W	2006-09-26	train	2	2	2.4
2H0X	2006-09-26	train	2	2	2.3
2H1M	2006-07-18	train	1	2	2.9
2H49	2006-11-21	train	2	2	
2HEM	2006-09-12	train	1	1	
2HNS	2006-10-31	train	1	1	
2HO6	2006-09-26	train	2	2	2.8
2HO7	2006-09-26	train	2	2	2.9
2HOJ	2006-09-19	train	1	1	2.5
2HOK	2006-09-19	train	1	1	3.2
2HOL	2006-09-19	train	1	1	2.9
2HOM	2006-09-19	train	1	1	2.89
2HOO	2006-09-19	train	1	1	3.0
2HOP	2006-09-19	train	1	1	3.3
2HUA	2007-04-17	train	1	1	
2I7E	2007-04-03	train	1	2	
2I7Z	2007-04-03	train	1	2	
2IL9	2007-02-13	train	1	2	3.1
2IRN	2007-02-20	train	1	2	
2IRO	2007-02-20	train	1	2	
2IXY	2006-09-06	train	1	1	
2IXZ	2006-09-06	train	1	1	
2JJA	2008-07-22	train	1	1	1.3
2JLT	2009-08-18	train	2	2	2.9
2JR4	2007-07-24	train	1	1	
2JRG	2007-07-24	train	1	1	
2JRQ	2007-07-24	train	1	1	
2JSE	2007-11-20	train	1	1	
2JSG	2007-08-07	train	1	1	
2JTP	2007-10-02	train	1	1	
2JUK	2007-11-20	train	1	1	
2JWV	2008-01-08	train	1	1	
2JXQ	2008-05-20	train	2	2	
2JXS	2008-05-20	train	2	2	
2JXV	2008-04-29	train	1	1	
2JYF	2008-10-07	train	1	2	
2JYH	2008-10-07	train	1	2	
2JYJ	2008-10-07	train	1	2	
2JYM	2008-04-29	train	1	1	
2K3Z	2008-11-04	train	2	2	
2K41	2008-11-04	train	2	2	
2K4C	2008-12-09	train	1	1	
2K5Z	2009-07-14	train	1	1	
2K65	2009-07-14	train	2	2	
2K66	2009-07-14	train	1	1	
2K7E	2008-10-07	train	2	2	
2K95	2008-11-25	train	1	1	
2K96	2008-11-25	train	1	1	
2KBP	2009-03-24	train	1	2	
2KD4	2009-04-07	train	1	2	
2KD8	2010-01-19	train	1	1	
2KE6	2010-01-26	train	1	1	
2KEZ	2009-07-21	train	1	1	
2KF0	2009-07-21	train	1	1	
2KGP	2009-06-02	train	1	1	
2KHY	2010-02-16	train	1	1	
2KOC	2009-12-01	train	1	1	
2KP3	2010-02-09	train	2	2	
2KPC	2010-06-30	train	1	1	
2KPD	2010-06-30	train	1	1	
2KPV	2010-08-04	train	1	1	
2KRL	2011-02-09	train	1	1	
2KRP	2010-12-01	train	1	1	
2KRQ	2010-12-01	train	1	1	
2KRV	2010-12-01	train	1	1	
2KRW	2010-12-01	train	1	1	
2KRY	2010-08-18	train	1	1	
2KRZ	2010-08-18	train	1	1	
2KTZ	2010-04-28	train	1	1	
2KU0	2010-04-28	train	1	1	
2KUR	2010-05-19	train	1	1	
2KUU	2010-05-19	train	1	1	
2KUV	2010-05-19	train	1	1	
2KUW	2010-05-19	train	1	1	
2KVN	2010-07-07	train	1	1	
2KWG	2010-07-21	train	2	2	
2KX8	2010-09-08	train	1	1	
2KXM	2011-04-20	train	1	1	
2KXZ	2010-06-02	train	1	2	
2KY0	2010-06-02	train	1	2	
2KY1	2010-06-02	train	1	2	
2KY2	2010-06-02	train	1	2	
2KYD	2010-07-07	train	1	2	
2KYE	2010-06-30	train	1	1	
2KZL	2011-02-23	train	1	1	
2L1F	2010-10-27	train	2	2	
2L1V	2010-09-01	train	1	1	
2L2J	2010-10-27	train	1	1	
2L3E	2010-11-17	train	1	1	
2L5Z	2011-02-16	train	1	1	
2L6I	2011-03-23	train	1	1	
2L8C	2011-02-23	train	1	2	
2L8F	2011-08-31	train	2	2	
2L8H	2011-03-23	train	1	1	
2L8U	2011-02-23	train	1	2	
2L8W	2011-02-23	train	1	2	
2L94	2011-06-15	train	1	1	
2L9E	2011-03-02	train	1	1	
2LA9	2011-08-03	train	1	1	
2LAC	2011-08-03	train	1	1	
2LBJ	2012-04-04	train	1	1	
2LBK	2012-04-04	train	1	1	
2LBL	2012-04-04	train	1	1	
2LBQ	2011-08-03	train	1	1	
2LBR	2011-08-03	train	1	1	
2LC8	2011-11-23	train	1	1	
2LDL	2011-12-28	train	1	1	
2LDT	2011-09-07	train	1	1	
2LDZ	1999-02-23	train	1	1	
2LHP	2012-07-25	train	1	1	
2LI4	2012-08-22	train	1	1	
2LJJ	2012-09-19	train	1	1	
2LK3	2012-02-22	train	1	1	
2LKR	2012-02-22	train	1	1	
2LP9	2012-05-16	train	1	1	
2LPA	2012-05-16	train	1	1	
2LPS	2012-08-08	train	1	1	
2LPT	2012-08-08	train	1	1	
2LQZ	2012-08-01	train	1	1	
2LU0	2013-04-10	train	1	1	
2LUB	2012-07-25	train	1	1	
2LUN	2013-12-18	train	1	1	
2LV0	2013-06-26	train	1	1	
2LVY	2013-04-10	train	2	2	
2LWK	2012-08-29	train	1	1	
2LX1	2012-11-21	train	1	2	
2M12	2013-10-23	train	1	1	
2M18	2013-04-17	train	1	4	
2M1O	2013-02-13	train	2	2	
2M21	2013-03-20	train	1	1	
2M22	2013-03-20	train	1	1	
2M23	2013-12-18	train	2	2	
2M24	2013-12-18	train	1	1	
2M39	2013-11-27	train	1	2	
2M4Q	2013-03-20	train	1	1	
2M4W	2014-03-05	train	1	1	
2M57	2014-02-26	train	1	1	
2M58	2013-04-03	train	1	1	
2M5U	2014-04-02	train	1	1	
2M8K	2013-06-19	train	1	1	
2MEQ	2014-01-01	train	1	1	
2MER	2014-01-01	train	1	1	
2MFD	2014-10-15	train	1	1	
2MHI	2013-12-25	train	1	1	
2MI0	2014-01-15	train	2	2	
2MIS	2014-01-22	train	1	1	
2MIY	2014-01-29	train	1	1	
2MN0	2015-04-15	train	1	1	
2MNC	2014-10-01	train	1	1	
2MQT	2014-09-10	train	1	1	
2MS5	2015-01-28	train	1	2	
2MTJ	2014-10-22	train	1	1	
2MTK	2014-10-22	train	1	1	
2MVS	2015-09-16	train	1	2	
2MVY	2015-09-30	train	1	2	
2MXJ	2015-05-06	train	1	1	
2MXK	2015-05-06	train	2	2	
2MXL	2015-05-06	train	1	1	
2MXS	2015-12-09	train	1	1	
2N0J	2016-02-03	train	1	1	
2N0R	2015-05-20	train	1	1	
2N1Q	2015-05-27	train	1	1	
2N2O	2015-08-05	train	1	1	
2N2P	2015-08-05	train	1	1	
2N3Q	2015-07-15	train	1	1	
2N3R	2015-07-15	train	1	1	
2N4J	2015-07-29	train	1	2	
2N4L	2015-12-02	train	1	1	
2N6S	2016-08-03	train	1	1	
2N6T	2016-08-03	train	1	1	
2N6W	2016-08-03	train	1	1	
2N6X	2016-08-03	train	1	1	
2N7M	2015-12-30	train	1	1	
2N7X	2016-04-13	train	1	1	
2N8V	2015-11-11	train	1	1	
2NBX	2016-08-10	train	1	1	
2NBY	2016-08-10	train	1	1	
2NBZ	2016-08-10	train	1	1	
2NC0	2016-08-10	train	1	1	
2NC1	2016-08-10	train	1	1	
2NCI	2016-09-28	train	1	1	
2NCQ	2017-04-19	train	1	2	
2NCR	2017-04-19	train	1	2	
2NOK	2007-02-13	train	2	4	3.0
2NPY	2007-08-14	train	4	4	2.65
2NPZ	2007-08-14	train	4	4	3.35
2O32	2007-02-06	train	1	1	
2O33	2007-02-06	train	1	1	
2O3V	2007-11-06	train	1	2	2.8
2O3W	2007-11-06	train	1	2	2.8
2O3X	2007-11-06	train	1	2	2.9
2O3Y	2007-11-06	train	1	2	2.7
2O43	2007-12-04	train	1	1	3.6
2O44	2007-12-04	train	1	1	3.3
2O45	2007-12-04	train	1	1	3.6
2O81	2007-07-10	train	1	2	
2O83	2007-07-10	train	1	2	
2OE5	2007-02-13	train	2	2	1.5
2OE6	2007-02-13	train	2	2	2.4
2OE8	2007-02-13	train	2	2	1.8
2OEU	2007-02-20	train	2	2	2.0
2OIJ	2007-02-13	train	1	2	2.3
2OIU	2007-03-13	train	1	2	2.6
2OIY	2007-12-25	train	1	2	1.6
2OJ0	2007-12-25	train	1	2	2.6
