PDB_ID	RELEASE_DATE	INITIAL_SPLIT	FINAL_SPLIT	FINAL_STATUS	EXCLUSION_REASON	EVALUATE_CHAIN_IDS	MASKED_CHAIN_IDS	TARGET_DIRECTORY
1C2X	2000-04-10	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1c2x
1C4L	2000-08-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1c4l
1CQ5	1999-08-23	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1cq5
1CQL	2000-01-14	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1cql
1CSL	2000-02-14	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1csl
1D0T	2000-05-24	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1d0t
1D0U	2000-05-24	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1d0u
1D4R	1999-12-02	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1d4r
1DDY	2000-01-01	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ddy
1DQF	2000-11-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1dqf
1DQH	2000-11-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1dqh
1DUH	2000-05-08	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1duh
1DUQ	2000-05-16	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1duq
1E4P	2001-01-16	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1e4p
1E95	2001-08-23	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1e95
1EBQ	1997-07-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ebq
1EBR	1997-07-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ebr
1EBS	1997-07-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ebs
1EHT	1997-12-24	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1eht
1EHZ	2000-10-02	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ehz
1EI2	2000-03-06	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ei2
1EKA	2000-11-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1eka
1EKD	2000-11-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ekd
1ELH	1994-01-31	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1elh
1ESH	2000-04-24	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1esh
1ESY	2000-05-31	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1esy
1ET4	2000-11-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1et4
1EVV	2000-05-01	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1evv
1F1T	2000-09-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f1t
1F27	2000-06-12	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f27
1F5G	2000-06-26	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f5g
1F5H	2000-06-26	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f5h
1F5U	2000-08-21	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f5u
1F6X	2000-10-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f6x
1F6Z	2000-10-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f6z
1F78	2000-10-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f78
1F79	2000-10-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f79
1F7F	2000-10-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f7f
1F7G	2000-10-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f7g
1F7H	2000-10-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f7h
1F7I	2000-10-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f7i
1F84	2000-11-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f84
1F85	2000-11-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f85
1F9L	2000-07-26	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1f9l
1FCW	2000-08-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1fcw
1FEQ	2000-11-22	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1feq
1FG0	2000-08-28	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1fg0
1FHK	2001-03-21	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1fhk
1FIR	2001-01-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1fir
1FL8	2000-10-16	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1fl8
1FMN	1996-07-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1fmn
1FOQ	2000-12-22	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1foq
1FQZ	2001-01-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1fqz
1FUF	2001-11-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1fuf
1FYO	2001-03-14	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1fyo
1FYP	2001-03-14	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1fyp
1G2J	2000-12-06	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1g2j
1G3A	2001-08-01	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1g3a
1GID	1996-12-31	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1gid
1GRZ	1998-11-24	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1grz
1GUC	1997-02-12	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1guc
1H0Q	2003-07-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1h0q
1H1K	2002-09-26	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1h1k
1HLX	1995-09-15	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1hlx
1HR2	2001-04-12	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1hr2
1HS1	2003-09-02	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1hs1
1HS2	2001-08-29	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1hs2
1HS3	2003-09-02	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1hs3
1HS4	2003-09-02	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1hs4
1HS8	2003-09-02	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1hs8
1HWQ	2001-05-16	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1hwq
1I3X	2001-04-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1i3x
1I3Y	2001-04-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1i3y
1I46	2001-04-21	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1i46
1I4B	2001-04-21	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1i4b
1I4C	2001-04-21	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1i4c
1I7J	2001-09-21	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1i7j
1I9K	2001-05-30	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1i9k
1I9V	2001-06-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1i9v
1I9X	2001-09-05	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1i9x
1IDV	2001-10-05	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1idv
1IE1	2001-06-20	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ie1
1IE2	2001-06-20	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ie2
1IK1	2001-07-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ik1
1IK5	2001-11-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ik5
1IKD	1997-04-01	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ikd
1J4Y	2002-07-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1j4y
1J6S	2003-08-05	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1j6s
1J7T	2002-05-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1j7t
1J8G	2001-11-23	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1j8g
1J9H	2001-10-26	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1j9h
1JO7	2001-09-19	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1jo7
1JOX	2002-05-01	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1jox
1JP0	2002-05-01	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1jp0
1JTJ	2002-12-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1jtj
1JTW	2001-12-12	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1jtw
1JU1	2002-08-23	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ju1
1JU7	2002-03-20	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ju7
1JUR	2002-01-16	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1jur
1JWC	2002-03-20	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1jwc
1JZC	2003-10-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1jzc
1JZV	2003-11-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1jzv
1K2G	2002-05-08	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1k2g
1K4A	2001-12-19	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1k4a
1K4B	2001-12-19	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1k4b
1K5I	2001-10-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1k5i
1K6G	2001-12-19	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1k6g
1K6H	2001-12-19	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1k6h
1K8S	2001-11-14	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1k8s
1K9W	2001-11-30	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1k9w
1KAJ	1996-07-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kaj
1KD3	2003-03-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kd3
1KD4	2003-03-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kd4
1KD5	2003-03-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kd5
1KFO	2001-12-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kfo
1KH6	2002-04-26	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kh6
1KIS	1997-10-15	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kis
1KKA	2002-07-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kka
1KKS	2002-03-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kks
1KOC	1996-08-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1koc
1KOD	1996-11-08	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kod
1KOS	1999-10-22	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kos
1KP7	2002-04-10	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kp7
1KPD	1997-04-01	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kpd
1KPY	2002-01-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kpy
1KPZ	2002-01-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kpz
1KXK	2002-03-22	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1kxk
1L1W	2002-05-22	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1l1w
1L2X	2002-03-22	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1l2x
1L3D	2002-03-22	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1l3d
1L3Z	2003-02-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1l3z
1L8V	2002-08-23	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1l8v
1LC4	2003-04-08	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1lc4
1LC6	2002-05-29	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1lc6
1LDZ	1998-11-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ldz
1LMV	2002-11-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1lmv
1LNT	2003-06-03	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1lnt
1LPW	2002-11-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1lpw
1LU3	2002-06-26	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1lu3
1LUU	2003-09-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1luu
1LUX	2003-09-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1lux
1LVJ	2002-12-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1lvj
1M5L	2002-09-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1m5l
1M82	2003-06-03	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1m82
1MDG	2003-08-12	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mdg
1ME1	2003-08-19	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1me1
1MFJ	2002-11-06	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mfj
1MFK	2002-11-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mfk
1MFY	2002-09-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mfy
1MHK	2002-09-06	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mhk
1MIS	1997-07-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mis
1MME	1996-02-06	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mme
1MNX	2003-01-14	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mnx
1MSY	2003-02-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1msy
1MT4	2003-01-14	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mt4
1MUV	2002-12-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1muv
1MV1	2002-12-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mv1
1MV2	2002-12-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mv2
1MV6	2002-12-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mv6
1MWG	1997-03-12	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mwg
1MWL	2003-02-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1mwl
1MY9	2003-10-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1my9
1N53	2003-04-29	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1n53
1N66	2003-08-19	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1n66
1N8X	2003-04-08	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1n8x
1NA2	2003-01-21	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1na2
1NBK	2003-12-03	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1nbk
1NBR	2003-03-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1nbr
1NBS	2003-02-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1nbs
1NC0	2003-02-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1nc0
1NEM	1999-08-31	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1nem
1NJN	2003-02-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1njn
1NJO	2003-02-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1njo
1NLC	2003-05-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1nlc
1NTA	2003-05-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1nta
1NTB	2003-05-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ntb
1NUJ	2003-08-19	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1nuj
1NUV	2003-08-19	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1nuv
1NYI	2004-02-24	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1nyi
1NZ1	2003-05-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1nz1
1O15	2003-02-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1o15
1O3Z	2003-05-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1o3z
1O9M	2003-03-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1o9m
1OQ0	2003-05-13	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1oq0
1OSU	1996-04-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1osu
1OSW	2003-05-20	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1osw
1OW9	2003-05-20	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1ow9
1P5M	2003-11-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1p5m
1P5N	2003-11-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1p5n
1P5O	2003-11-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1p5o
1P5P	2003-11-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1p5p
1P79	2003-11-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1p79
1P9X	2003-08-05	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1p9x
1PBL	1997-07-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1pbl
1PBM	1997-07-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1pbm
1PBR	1997-09-17	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1pbr
1PJY	2003-08-05	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1pjy
1Q29	2004-02-24	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1q29
1Q75	2003-12-23	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1q75
1Q8N	2004-03-23	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1q8n
1Q93	2003-11-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1q93
1Q96	2003-11-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1q96
1Q9A	2003-11-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1q9a
1QBP	1999-11-26	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1qbp
1QC0	1999-11-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1qc0
1QC8	1999-08-31	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1qc8
1QCU	1999-11-11	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1qcu
1QD3	2000-07-12	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1qd3
1QES	1997-06-05	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1qes
1QET	1997-06-05	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1qet
1QWA	2003-11-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1qwa
1QWB	2003-11-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1qwb
1QZA	2003-11-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1qza
1QZB	2003-11-04	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1qzb
1R2P	2004-02-03	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1r2p
1R3O	2003-12-23	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1r3o
1R4H	2004-10-19	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1r4h
1R7W	2004-05-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1r7w
1R7Z	2004-05-25	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1r7z
1RAU	1994-01-31	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1rau
1RAW	1997-01-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1raw
1RFR	2004-03-23	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1rfr
1RHT	1995-06-03	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1rht
1RMN	1995-01-26	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1rmn
1RNA	1991-04-15	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1rna
1RNG	1995-12-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1rng
1RNK	1995-02-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1rnk
1ROQ	2004-05-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1roq
1RRR	1998-04-22	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1rrr
1RXA	1996-10-20	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1rxa
1RXB	1996-08-26	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1rxb
1S2F	2004-08-31	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1s2f
1S34	2004-08-31	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1s34
1S9L	2004-06-29	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1s9l
1S9S	2004-04-06	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1s9s
1SA9	2004-05-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1sa9
1SAQ	2004-05-18	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1saq
1SCL	1995-01-26	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1scl
1SDR	1995-02-27	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1sdr
1SLO	1996-12-07	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1slo
1SLP	1997-04-21	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1slp
1SY4	2004-04-06	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1sy4
1SYZ	2004-11-09	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1syz
1SZY	2004-04-20	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1szy
1T0D	2004-06-15	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1t0d
1T0E	2004-06-15	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1t0e
1T1O	2004-06-15	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1t1o
1T28	2004-08-10	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1t28
1T4X	2004-08-03	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1t4x
1TBK	2005-03-01	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1tbk
1TFN	1997-02-12	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1tfn
1TJZ	2004-09-28	train	train	KEPT				/storage9920/home/tinghao.xia/Data/train/1tjz
