PDB_ID	RELEASE_DATE	INITIAL_SPLIT	STRICT_RANK1_RMSD_ANGSTROM	SELECTION_STATUS	FINAL_SPLIT	FINAL_STATUS	EXCLUSION_REASON	RNA_CHAIN_ID	TARGET_DIRECTORY
1AJT	1997-08-20	train	7.27	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1AJU	1997-12-17	train	4.798	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1aju
1AKX	1997-11-19	train	4.615	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1akx
1AL5	1997-12-17	train	2.578	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1AM0	1997-07-23	train	10.199	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1am0
1ANR	1997-01-11	train	5.183	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1anr
1AQO	1998-02-04	train	3.489	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1aqo
1ARJ	1996-11-08	train	4.452	SELECTED	train	KEPT		N	/storage9920/home/tinghao.xia/Data_V1/train/1arj
1ATO	1997-11-12	train	2.365	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ato
1ATV	1998-02-25	train	2.771	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1atv
1ATW	1998-02-25	train	2.787	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1atw
1B36	1998-12-23	train	7.295	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1b36
1BAU	1999-04-27	train	23.606	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1BGZ	1999-01-13	train	4.325	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1bgz
1BJ2	1999-02-02	train	7.067	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1BN0	1999-04-27	train	3.039	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1bn0
1BVJ	1998-12-09	train	1.645	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1bvj
1BYJ	1999-10-29	train	1.793	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1byj
1BZ2	1999-04-27	train	1.273	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1bz2
1BZ3	1999-04-27	train	2.299	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1bz3
1BZT	1999-04-27	train	2.895	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1bzt
1BZU	1999-04-27	train	2.581	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1bzu
1C0O	1999-08-31	train	1.276	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1c0o
1C2W	2000-04-10	train	36.615	EXCLUDE_TRAIN_RMSD_CUTOFF		EXCLUDE_TRAIN_RMSD_CUTOFF	strict rank-1 RMSD 36.615 A > 15 A	B	
1C2X	2000-04-10	train	10.549	SELECTED	train	KEPT		C	/storage9920/home/tinghao.xia/Data_V1/train/1c2x
1C4L	2000-08-09	train	1.657	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1CQ5	1999-08-23	train	4.194	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1cq5
1CQL	2000-01-14	train	6.24	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1cql
1CSL	2000-02-14	train	0.36	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1D0T	2000-05-24	train	1.874	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1d0t
1D0U	2000-05-24	train	2.01	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1d0u
1D4R	1999-12-02	train	24.97	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=3; required exactly 1		
1DDY	2000-01-01	train	25.25	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
1DQF	2000-11-13	train	0.235	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1DQH	2000-11-13	train	0.281	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1DUH	2000-05-08	train	37.703	EXCLUDE_TRAIN_RMSD_CUTOFF		EXCLUDE_TRAIN_RMSD_CUTOFF	strict rank-1 RMSD 37.703 A > 15 A	A	
1DUQ	2000-05-16	train	18.347	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=8; required exactly 1		
1E4P	2001-01-16	train	4.141	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1e4p
1E95	2001-08-23	train	3.848	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1e95
1EBQ	1997-07-07	train	3.357	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ebq
1EBR	1997-07-07	train	5.449	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ebr
1EBS	1997-07-07	train	4.054	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ebs
1EHT	1997-12-24	train	4.908	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1eht
1EHZ	2000-10-02	train	1.18	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ehz
1EI2	2000-03-06	train	3.366	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ei2
1EKA	2000-11-13	train	2.653	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1EKD	2000-11-13	train	1.736	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1ELH	1994-01-31	train	2.363	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1ESH	2000-04-24	train	1.821	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1esh
1ESY	2000-05-31	train	2.805	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1esy
1ET4	2000-11-13	train	25.614	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=5; required exactly 1		
1EVV	2000-05-01	train	0.759	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1evv
1F1T	2000-09-04	train	0.445	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1f1t
1F27	2000-06-12	train	0.149	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1F5G	2000-06-26	train	1.824	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1F5H	2000-06-26	train	1.623	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1F5U	2000-08-21	train	20.944	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1F6X	2000-10-09	train	2.312	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1f6x
1F6Z	2000-10-09	train	2.751	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1f6z
1F78	2000-10-09	train	2.573	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1f78
1F79	2000-10-09	train	3.097	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1f79
1F7F	2000-10-09	train	3.365	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1f7f
1F7G	2000-10-09	train	3.174	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1f7g
1F7H	2000-10-09	train	4.52	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1f7h
1F7I	2000-10-09	train	3.189	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1f7i
1F84	2000-11-17	train	2.606	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1f84
1F85	2000-11-17	train	1.469	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1f85
1F9L	2000-07-26	train	3.011	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1f9l
1FCW	2000-08-11	train	28.316	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=5; required exactly 1		
1FEQ	2000-11-22	train	3.564	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1feq
1FG0	2000-08-28	train	40.88	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1FHK	2001-03-21	train	2.139	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1fhk
1FIR	2001-01-17	train	1.433	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1fir
1FL8	2000-10-16	train	1.381	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1fl8
1FMN	1996-07-11	train	5.29	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1fmn
1FOQ	2000-12-22	train	38.776	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=5; required exactly 1		
1FQZ	2001-01-17	train	1.241	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1fqz
1FUF	2001-11-09	train	0.134	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1FYO	2001-03-14	train	4.322	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1fyo
1FYP	2001-03-14	train	2.567	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1fyp
1G2J	2000-12-06	train	6.131	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1g2j
1G3A	2001-08-01	train	0.995	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1GID	1996-12-31	train	29.016	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1GRZ	1998-11-24	train	47.031	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1GUC	1997-02-12	train	0.945	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1H0Q	2003-07-17	train	0.859	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1H1K	2002-09-26	train	342.239	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=6; required exactly 1		
1HLX	1995-09-15	train	2.046	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1hlx
1HR2	2001-04-12	train	40.209	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1HS1	2003-09-02	train	2.916	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1hs1
1HS2	2001-08-29	train	1.782	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1hs2
1HS3	2003-09-02	train	1.792	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1hs3
1HS4	2003-09-02	train	1.974	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1hs4
1HS8	2003-09-02	train	2.625	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1hs8
1HWQ	2001-05-16	train	5.251	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1hwq
1I3X	2001-04-04	train	2.844	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1i3x
1I3Y	2001-04-04	train	2.956	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1i3y
1I46	2001-04-21	train	1.597	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1i46
1I4B	2001-04-21	train	1.891	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1i4b
1I4C	2001-04-21	train	2.069	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1i4c
1I7J	2001-09-21	train	0.78	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1I9K	2001-05-30	train	3.782	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
1I9V	2001-06-04	train	0.7	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1i9v
1I9X	2001-09-05	train	0.257	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1IDV	2001-10-05	train	2.139	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1idv
1IE1	2001-06-20	train	4.828	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ie1
1IE2	2001-06-20	train	4.814	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ie2
1IK1	2001-07-18	train	2.095	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ik1
1IK5	2001-11-09	train	0.182	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1IKD	1997-04-01	train	2.122	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ikd
1J4Y	2002-07-17	train	3.688	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1j4y
1J6S	2003-08-05	train	16.497	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
1J7T	2002-05-18	train	0.717	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1J8G	2001-11-23	train	11.761	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
1J9H	2001-10-26	train	11.161	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
1JO7	2001-09-19	train	4.779	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1jo7
1JOX	2002-05-01	train	3.263	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1jox
1JP0	2002-05-01	train	2.959	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1jp0
1JTJ	2002-12-11	train	4.686	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1jtj
1JTW	2001-12-12	train	1.443	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1jtw
1JU1	2002-08-23	train	4.792	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1JU7	2002-03-20	train	3.232	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ju7
1JUR	2002-01-16	train	2.158	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1jur
1JWC	2002-03-20	train	3.186	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1jwc
1JZC	2003-10-07	train	2.571	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1jzc
1JZV	2003-11-11	train	9.585	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
1K2G	2002-05-08	train	7.239	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1k2g
1K4A	2001-12-19	train	2.239	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1k4a
1K4B	2001-12-19	train	1.504	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1k4b
1K5I	2001-10-17	train	1.993	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1k5i
1K6G	2001-12-19	train	2.273	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1k6g
1K6H	2001-12-19	train	1.353	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1k6h
1K8S	2001-11-14	train	3.009	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1K9W	2001-11-30	train	29.333	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=4; required exactly 1		
1KAJ	1996-07-11	train	9.566	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1kaj
1KD3	2003-03-04	train	0.49	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1KD4	2003-03-04	train	0.548	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1KD5	2003-03-04	train	0.561	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1KFO	2001-12-07	train	16.236	EXCLUDE_TRAIN_RMSD_CUTOFF		EXCLUDE_TRAIN_RMSD_CUTOFF	strict rank-1 RMSD 16.236 A > 15 A	A	
1KH6	2002-04-26	train	4.867	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1kh6
1KIS	1997-10-15	train	2.628	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1KKA	2002-07-17	train	4.556	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1kka
1KKS	2002-03-13	train	4.472	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1kks
1KOC	1996-08-17	train	12.142	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1KOD	1996-11-08	train	3.481	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1KOS	1999-10-22	train	2.823	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1kos
1KP7	2002-04-10	train	5.404	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1kp7
1KPD	1997-04-01	train	6.183	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1kpd
1KPY	2002-01-11	train	4.032	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1kpy
1KPZ	2002-01-11	train	3.984	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1kpz
1KXK	2002-03-22	train	6.511	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1kxk
1L1W	2002-05-22	train	1.652	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1l1w
1L2X	2002-03-22	train	0.454	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1l2x
1L3D	2002-03-22	train	0.617	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1l3d
1L3Z	2003-02-25	train	12.806	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1L8V	2002-08-23	train	5.458	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1LC4	2003-04-08	train	0.652	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1LC6	2002-05-29	train	5.416	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1lc6
1LDZ	1998-11-25	train	4.149	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1ldz
1LMV	2002-11-27	train	2.53	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1LNT	2003-06-03	train	0.111	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1LPW	2002-11-27	train	4.109	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1LU3	2002-06-26	train	0.926	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1lu3
1LUU	2003-09-09	train	3.384	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1luu
1LUX	2003-09-09	train	3.258	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1lux
1LVJ	2002-12-11	train	6.274	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1lvj
1M5L	2002-09-18	train	6.07	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1m5l
1M82	2003-06-03	train	2.37	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1m82
1MDG	2003-08-12	train		EXCLUDE_FROZEN_RMSD		EXCLUDE_FROZEN_RMSD	PDB is listed in exclude_strict_rank1_rmsd_pdb.txt	A	
1ME1	2003-08-19	train	1.981	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1me1
1MFJ	2002-11-06	train	2.168	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1mfj
1MFK	2002-11-13	train	2.149	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1mfk
1MFY	2002-09-18	train	3.393	SELECTED	train	KEPT		A	/storage9920/home/tinghao.xia/Data_V1/train/1mfy
1MHK	2002-09-06	train	0.26	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
1MIS	1997-07-07	train	0.956	EXCLUDE_MULTI_RNA_CHAIN		EXCLUDE_MULTI_RNA_CHAIN	RNA_CHAIN_COUNT=2; required exactly 1		
